"sgWzMth9FYw","UCupvZG-5ko_eiXAupbDfxWw","Navy aircraft crash leaves 3 missing in Philippine Sea","A US Navy plane crashed into the ocean southeast of Okinawa Wednesday afternoon, leaving three people missing in the latest of a string of troubling incidents facing the Navy in waters off East Asia this year. 
The C2-A Greyhound transport plane was carrying 11 crew and passengers to an aircraft carrier when it crashed into the Philippine Sea around 2:45 p.m. Japan Standard Time, the Navy said.","2017-11-22 20:58:31.000000",6638,75,70,29,0,"25","https://en.wikipedia.org/wiki/Society","https://en.wikipedia.org/wiki/Politics","https://en.wikipedia.org/wiki/Military","2017-11-23 16:29:46.000000"
"PMpIZsJuRxE","UCupvZG-5ko_eiXAupbDfxWw","Senator suggested faking bad connection on call with Trump","Sen. Tom Carper (D-DE) says he suggested that White House adviser Gary Cohn fake a bad phone connection with President Donald Trump to get the president off a call about the tax plan. Sen. Chris Coon (D-CT) says the suggestion was made, and Cohn acted appropriately.","2017-11-22 21:35:39.000000",12525,237,139,86,0,"25","https://en.wikipedia.org/wiki/Society","https://en.wikipedia.org/wiki/Politics","","2017-11-23 16:29:48.000000"
"QylI-WVENRg","UCupvZG-5ko_eiXAupbDfxWw","What Trump has tweeted about instead of Roy Moore","President Donald Trump spoke out directly on the allegations of sexual misconduct against Alabama Senate candidate Roy Moore. CNN's Brooke Baldwin breaks down everything President Donald Trump has tweeted about other than Roy Moore.","2017-11-22 21:05:11.000000",9896,473,130,166,0,"25","https://en.wikipedia.org/wiki/Politics","https://en.wikipedia.org/wiki/Society","","2017-11-23 16:29:52.000000"
"YkhiGMkr66I","UCupvZG-5ko_eiXAupbDfxWw","Can the Senate expel Roy Moore if he wins election?","CNN's Tom Foreman looks at the decision facing Senators troubled by sexual misconduct allegations against Alabama GOP candidate Roy Moore if Moore wins the special election.","2017-11-22 20:29:47.000000",3785,173,70,70,0,"25","https://en.wikipedia.org/wiki/Politics","https://en.wikipedia.org/wiki/Society","","2017-11-23 16:29:53.000000"
"HXFrrdTgtmw","UCupvZG-5ko_eiXAupbDfxWw","Husband gets Thanksgiving Day surprise","Steve Melanson, husband of a woman shot during the Las Vegas shooting, provides a update on her recovery. Then he receives a surprise reunion with the man who helped save her life.","2017-11-23 15:44:40.000000",495,33,45,17,0,"25","https://en.wikipedia.org/wiki/Society","","","2017-11-23 16:29:54.000000"
"m7hQEvQ1Fe8","UCupvZG-5ko_eiXAupbDfxWw","What Trump voters will discuss at Thanksgiving","A panel of President Trump supporters have mixed reactions to talking politics at the Thanksgiving dinner table.","2017-11-22 17:17:58.000000",5424,445,58,97,0,"25","https://en.wikipedia.org/wiki/Politics","https://en.wikipedia.org/wiki/Society","","2017-11-23 16:29:55.000000"
"ftuWlsoEQsA","UCupvZG-5ko_eiXAupbDfxWw","North Korea defector's escape caught on camera","A North Korean soldier who defected across the demilitarized zone has had his escape caught on camera.","2017-11-22 20:12:43.000000",89539,437,757,55,0,"25","https://en.wikipedia.org/wiki/Lifestyle_(sociology)","","","2017-11-23 16:29:45.000000"
"S__WD_zpqMw","UCupvZG-5ko_eiXAupbDfxWw","Anchor: Charlie Rose firing reminded me of how I was degraded","HLN's Erica Hill, a former co-anchor of CBS ""This Morning,"" says that when she learned former colleague Charlie Rose was fired from CBS for sexual harassment, it made her reflect on all the times she was demeaned and degraded in the workplace over the course of her career at numerous networks.","2017-11-22 22:58:13.000000",15499,412,207,131,0,"25","https://en.wikipedia.org/wiki/Society","https://en.wikipedia.org/wiki/Politics","","2017-11-23 16:29:47.000000"
"xYY_VplPY_c","UCupvZG-5ko_eiXAupbDfxWw","Rep. Meeks on Conyers: No one is exempt","Rep. Gregory Meeks (D-NY), member of the Congressional Black Caucus, calls for Rep. John Conyers (D-MI) to step down as the ranking member of the judiciary committee.","2017-11-22 17:12:22.000000",2219,41,37,27,0,"25","https://en.wikipedia.org/wiki/Society","https://en.wikipedia.org/wiki/Politics","","2017-11-23 16:29:50.000000"
"G2VKpYoYuUY","UCupvZG-5ko_eiXAupbDfxWw","Christiane Amanpour meets Ratko Mladic - the 'Butcher of Bosnia'","""There is no greater honor than defending your poeple."" Christiane Amanpour asked Bosnian Serb commander Ratko Mladic just a year into the war what he thought about being proescuted as a war criminal.","2017-11-22 18:29:32.000000",13624,244,91,120,0,"25","https://en.wikipedia.org/wiki/Politics","https://en.wikipedia.org/wiki/Society","","2017-11-23 16:29:51.000000"
